"orderid","lineid","productid","qtyordered","itemprice","voided","voiddate","fillsiteid","filllocationid","commissiontype","spiff","originalinventorycost","filldate","inventorycostdate","inventoryreceiptdate","addeddate","fillfromsiteid","fillfromlocationid","mainorderid","packageid","salesperson1","salesperson2","percentofsale1","percentofsale2","picked","upcharge","discount","valueforproductid","valueforlineid","valueproductid","valueproductlineid","warrantyproductid","warrantyproductlineid","deliverypoints","takenwith","setup","pickupdiscount","setupcommission","deliverycommission","taxruleid","taxliability","taxbasis","customertax","retailertax","priceauthorizedby","leaveincarton","outletid","outletstatusid","outletdate","serialnumber","outletcomment","originalprice","originalalacarteprice","originalregularprice","promotionid","adjustmentreasonid","autoadjusteduid","autoadjustedvoided","storecardloaded","addedbyapp","interfacedforsalescube","interfacedforforecasting","auditaction","oldorderid","oldlineid","priceoverridereason","lineadded","totalothercost","deleteline","returnlinematched"
"0711511II44",1,"610598385",1.00,158.16,N,,"01",DC,Z,0.00,69.00,,2024-10-09 00:00:00.000,2024-10-09 00:00:00.000,,,,"0711511II44",,sn,eh,50.000,50.000,,,0.00,,,,,,,5,N,N,,N,N,,,,,,,N,,,,,,158.16,,,,,,,,2025-07-11 06:44:05.328,N,N,U,,0,,,12.27,,N
"0711511IJ32",1,"821946819",1.00,599.99,N,,,,Z,,,,,,,,,"0711511IJ32",,gg,,100.000,,,,0.00,,,,,,,36,N,N,,N,N,,,,,,,N,,,,,,599.99,599.99,599.99,,,,,,2025-07-11 09:13:22.899,N,N,I,,0,,,0.00,,N
"0711530IJ26",3,"380801035",1.00,398.96,N,,"01",DC,Z,,206.00,2025-07-11 09:01:19.763,2025-05-02 00:00:00.000,2025-05-02 00:00:00.000,,,,"0711530IJ26",,arm,,100.000,,,,0.00,,,,,,,20,N,N,,N,N,,,,,,,N,,,,,,398.96,398.96,398.96,,,,,,2025-07-11 09:01:19.232,N,N,U,,0,,,16.48,,N
"0711530IJ19",1,"083526235",1.00,798.98,N,,"01",DC,Z,,375.00,2025-07-11 08:49:55.206,2025-04-21 00:00:00.000,2025-04-21 00:00:00.000,,,,"0711530IJ19",,tru,,100.000,,,,0.00,,,,,,,96,N,N,,N,N,,,,,,,N,,,,,,798.98,798.98,798.98,,,,,,2025-07-11 08:49:54.950,N,N,U,,0,,,30.00,,N
"0711511IJ11",1,"748780059",1.00,96.55,N,,"01",DC,Z,,78.00,2025-07-11 08:51:13.323,2025-03-01 00:00:00.000,2025-03-01 00:00:00.000,,,,"0711511IJ11",,amd,,100.000,,,,0.00,,,,,,,4,N,N,,N,N,,,,,,amd,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-11 08:51:12.952,N,N,U,,0,INCRT,,11.70,,N
"0711511II88",1,"748780059",1.00,96.55,N,,,,Z,0.00,,,2025-02-10 00:00:00.000,2025-02-10 00:00:00.000,,,,"0711511II88",,amd,,100.000,,,,0.00,,,,,,,4,N,N,,N,N,,,,,,amd,N,,,,,,0.00,,,,,,,,2025-07-11 08:43:24.689,N,N,U,,0,INCRT,,0.00,,N
"0711512II98",1,"348679969",1.00,99.00,N,,"12",FLOOR-OUT,Z,0.00,60.86,2025-07-11 08:42:35.560,2025-06-25 00:00:00.000,2025-06-25 00:00:00.000,,,,"0711512II98",,sdk,,100.000,,,,0.00,,,,,,,4,N,N,,N,N,,,,,,sdk,N,"0710509574",OUT,2025-07-10 00:00:00.000,,,198.00,198.00,198.00,,,,,,2025-07-11 08:42:35.522,N,N,U,,0,TAG,,0.00,,N
"0711530IJ26",1,"070067281",1.00,529.61,N,,"01",DC,Z,,268.00,2025-07-11 09:01:19.505,2025-05-05 00:00:00.000,2025-05-05 00:00:00.000,,,,"0711530IJ26",,arm,,100.000,,,,0.00,,,,,,,45,N,N,,N,N,,,,,,,N,,,,,,529.61,529.61,529.61,,,,,,2025-07-11 09:01:19.232,N,N,U,,0,,,21.44,,N
"0711530IJ26",4,"380801035",1.00,398.96,N,,"01",DC,Z,,206.00,2025-07-11 09:01:19.791,2025-05-02 00:00:00.000,2025-05-02 00:00:00.000,,,,"0711530IJ26",,arm,,100.000,,,,0.00,,,,,,,20,N,N,,N,N,,,,,,,N,,,,,,398.96,398.96,398.96,,,,,,2025-07-11 09:01:19.232,N,N,U,,0,,,16.48,,N
"0711530IJ26",2,"128398045",1.00,229.05,N,,"01",DC,Z,,113.00,2025-07-11 09:01:19.613,2025-05-05 00:00:00.000,2025-05-05 00:00:00.000,,,,"0711530IJ26",,arm,,100.000,,,,0.00,,,,,,,5,N,N,,N,N,,,,,,,N,,,,,,229.05,229.05,229.05,,,,,,2025-07-11 09:01:19.232,N,N,U,,0,,,9.04,,N
